date,calorie_in,garmin_active,weight
12/28/2021,2309,190,
12/29/2021,2833,345,
12/30/2021,2825,109,144.8
12/31/2021,3303,390,
1/1/2022,3738,104,147.8
1/2/2022,2392,563,
1/3/2022,2809,137,144.8
1/4/2022,2829,74,
1/5/2022,2722,395,
1/6/2022,2722,446,
1/7/2022,2820,33,
1/8/2022,2470,398,151.4
1/9/2022,2995,677,
1/10/2022,2463,242,146
1/11/2022,2689,127,
1/12/2022,2852,374,
1/13/2022,2192,351,
1/14/2022,2949,92,
1/15/2022,2668,388,
1/16/2022,2336,72,
1/17/2022,3098,151,147.4
1/18/2022,2529,87,
1/19/2022,2691,0,
1/20/2022,2462,5,
1/21/2022,3315,74,
1/22/2022,2779,99,
1/23/2022,1792,135,149
1/24/2022,2546,136,
1/25/2022,1847,143,
1/26/2022,2592,363,146.6
1/27/2022,2505,359,144.2
1/28/2022,2256,138,
1/29/2022,2733,167,
1/30/2022,3031,5,149.2
1/31/2022,3101,227,148.8
2/1/2022,2949,103,
2/2/2022,2770,555,
2/3/2022,3306,124,
2/4/2022,3286,238,
2/5/2022,3000,36,
2/6/2022,3286,491,
2/7/2022,,,149.8
